PLANT FAMILY,PLANT SPECIES,BEE FAMILY,BEE SPECIES,NUMBER,SEX,DATE,HOUR
Amaranthaceae,Pfaffia tuberosa ,Apidae,Ceratina asunciana,44119,M,26/2/2003,12:00
Amaranthaceae,Pfaffia tuberosa ,Apidae,Ceratina asunciana,44111,M,26/2/2003,11:55
Amaranthaceae,Pfaffia tuberosa ,Halictidae,Dialictus (Chloralictus) sp.9,43917,M,22/2/2003,13:38
Amaranthaceae,Pfaffia tuberosa ,Halictidae,Dialictus (Chloralictus) parvus,43714,F,3/5/2003,15:40
Amaranthaceae,Pfaffia tuberosa ,Halictidae,Dialictus (Chloralictus) sp.9,44909,F,19/3/2003,10:50
Anacardiaceae,Lithrea brasiliensis,Apidae,Apis mellifera,45721,F,18/10/2003,09:10
Anacardiaceae,Lithrea brasiliensis,Apidae,Apis mellifera,45716,F,18/10/2003,09:10
Anacardiaceae,Lithrea brasiliensis,Apidae,Apis mellifera,45720,F,18/10/2003,09:10
Anacardiaceae,Lithrea brasiliensis,Apidae,Apis mellifera,45718,F,18/10/2003,09:10
Anacardiaceae,Lithrea brasiliensis,Apidae,Apis mellifera,45742,F,18/10/2003,11:20
Anacardiaceae,Lithrea brasiliensis,Apidae,Trigona spinipes,45703,F,1/10/2003,10:20
Apiaceae,Eryngium sanguisorba,Halictidae,Dialictus (Dialictus) sp.4,46531,F,31/10/2003,11:45
Apiaceae,Eryngium sanguisorba,Apidae,Trigona spinipes,45608,F,6/9/2003,14:15
Apiaceae,Eryngium sanguisorba,Apidae,Plebeia emerina,45621,F,27/9/2003,14:30
Aquifoliaceae,Ilex dumosa,Apidae,Apis mellifera,46718,F,15/11/2003,13:20
Aquifoliaceae,Ilex dumosa,Apidae,Apis mellifera,46716,F,15/11/2003,13:20
Arecaceae,Butia capitata,Halictidae,Dialictus (Dialictus) sp.4,47059,F,28/11/2003,11:30
Arecaceae,Butia capitata,Halictidae,Dialictus (Chloralictus) sp.9,46975,F,28/11/2003,14:43
Arecaceae,Butia capitata,Halictidae,Dialictus (Chloralictus) sp.30,47060,M,28/11/2003,11:30
Arecaceae,Butia capitata,Halictidae,Dialictus (Chloralictus) sp.30,46953,M,29/11/2003,09:00
Arecaceae,Butia capitata,Halictidae,Paroxystoglossa brachysera,46733,F,15/11/2003,12:15
Arecaceae,Butia capitata,Halictidae,Augochlora (Augochlora),47064,M,28/11/2003,11:30
Asteraceae,Achyrocline satureoides,Apidae,Plebeia emerina,44182,F,25/3/2003,14:20
Asteraceae,Achyrocline satureoides,Apidae,Plebeia emerina,44183,F,19/3/2003,14:45
Asteraceae,Achyrocline satureoides,Apidae,Plebeia emerina,44179,F,19/3/2003,14:45
Asteraceae,Achyrocline satureoides,Apidae,Plebeia emerina,44178,F,19/3/2003,11:30
Asteraceae,Achyrocline satureoides,Halictidae,Dialictus (Chloralictus) sp.9,43708,F,22/2/2003,11:45
Asteraceae,Achyrocline satureoides,Halictidae,Dialictus (Chloralictus) sp.30,43744,F,26/2/2003,15:00
Asteraceae,Achyrocline satureoides,Halictidae,Dialictus (Chloralictus) sp.9,43733,F,25/3/2003,14:20
Asteraceae,Achyrocline satureoides,Halictidae,Dialictus (Chloralictus) sp.9,43737,F,26/2/2003,12:05
Asteraceae,Achyrocline satureoides,Halictidae,Dialictus (Chloralictus) sp.9,43720,F,22/2/2003,11:45